позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
725,1040,Шапка взрослая ежевика,accessories,16.0,17508.0,0.0415,86.9042,B,1094.25,5252.4,12255.6,70.0
726,1033,Шапка взрослая шерсть лавандово-голубой,accessories,11.0,17496.0,0.0414,86.9457,B,1590.55,5248.8,12247.2,70.0
727,1026,Шарф взрослый шоколад,accessories,8.0,17428.0,0.0413,86.9869,B,2178.5,5228.4,12199.6,70.0
728,2489,Юбка трикотажная Косичка макси а-силуэт горький шоколад,skirts,4.0,17383.3,0.0412,87.0281,B,4345.82,5214.99,12168.31,70.0
729,2439,Футболка трикотажная ажур Листочки капучино,tshirts_longsleeves,3.0,17360.0,0.0411,87.0692,B,5786.67,5208.0,12152.0,70.0
730,2522,Поло мужское трикотажное полынь,tops_blouses,3.0,17360.0,0.0411,87.1104,B,5786.67,5208.0,12152.0,70.0
731,559,шапка взрослая лосось,accessories,16.0,17310.0,0.041,87.1514,B,1081.88,5193.0,12117.0,70.0
732,2506,Платье тонкое трикотажное Косичка макси синий,dresses,3.0,17252.0,0.0409,87.1922,B,5750.67,5175.6,12076.4,70.0
733,2153,Юбка трикотажная прямая полынь макси,skirts,5.0,17240.0,0.0408,87.2331,B,3448.0,5172.0,12068.0,70.0
734,2576,Свитер женский Релакс круглый ворот горчица,knitwear,3.0,17174.0,0.0407,87.2737,B,5724.67,5152.2,12021.8,70.0
735,599,Шапка взрослая ваниль,accessories,16.0,17128.0,0.0406,87.3143,B,1070.5,5138.4,11989.6,70.0
736,2917,Юбка прямая жатая с кружевом миди бежевый,skirts,3.0,17050.0,0.0404,87.3547,B,5683.33,5115.0,11935.0,70.0
737,2204,Платье Агата мини искусственный шелк алый,dresses,4.0,17000.0,0.0403,87.395,B,4250.0,5100.0,11900.0,70.0
738,990,Футболка базовая графит,tshirts_longsleeves,11.0,16933.5,0.0401,87.4351,B,1539.41,5080.05,11853.45,70.0
739,2424,Поло трикотажное ажур Ананас липовый,tops_blouses,3.0,16730.0,0.0396,87.4747,B,5576.67,5019.0,11711.0,70.0
740,2352,Палантин трикотажный Листочки серо-розовый,accessories,4.0,16618.0,0.0394,87.5141,B,4154.5,4985.4,11632.6,70.0
741,2141,Брюки классика вискоза корица в полоску,pants,5.0,16600.0,0.0393,87.5534,B,3320.0,4980.0,11620.0,70.0
742,2045,Жилет льняной алый,knitwear,4.0,16598.0,0.0393,87.5927,B,4149.5,4979.4,11618.6,70.0
743,2640,Капор шерсть шоколад,accessories,6.0,16585.0,0.0393,87.632,B,2764.17,4975.5,11609.5,70.0
744,1312,Юбка трикотажная в рубчик миди хаки,skirts,5.0,16580.0,0.0393,87.6713,B,3316.0,4974.0,11606.0,70.0
745,1175,Топ с горлом в рубчик черный,tops_blouses,9.0,16560.0,0.0392,87.7105,B,1840.0,4968.0,11592.0,70.0
746,1064,Шарф взрослый шерсть молочный,accessories,6.0,16550.0,0.0392,87.7497,B,2758.33,4965.0,11585.0,70.0
747,898,Жилет ромашки розово-белый,knitwear,5.0,16490.0,0.0391,87.7888,B,3298.0,4947.0,11543.0,70.0
748,748,Шапка взрослая капучино,accessories,12.0,16440.0,0.0389,87.8277,B,1370.0,4932.0,11508.0,70.0
749,2037,Шорты льняные лимонный,pants,4.0,16330.0,0.0387,87.8664,B,4082.5,4899.0,11431.0,70.0
750,2286,Топ на бретелях атлас молочный,tops_blouses,11.0,16280.0,0.0386,87.905,B,1480.0,4884.0,11396.0,70.0
751,2233,Шапка взрослая шерсть темный маренго,accessories,11.0,16216.0,0.0384,87.9434,B,1474.18,4864.8,11351.2,70.0
752,1243,Брюки палаццо вискоза темно-синий,pants,4.0,16200.0,0.0384,87.9817,B,4050.0,4860.0,11340.0,70.0
753,2394,Юбка сливочно-желлтая XL,skirts,2.0,16200.0,0.0384,88.0201,B,8100.0,4860.0,11340.0,70.0
754,2817,Джемпер Монпансье лайм-яркая фуксия,knitwear,3.0,16200.0,0.0384,88.0585,B,5400.0,4860.0,11340.0,70.0
755,830,Платье интерлок миди черный,dresses,3.0,16200.0,0.0384,88.0969,B,5400.0,4860.0,11340.0,70.0
756,262,Шарф взрослый светлый беж,accessories,7.0,16190.0,0.0384,88.1352,B,2312.86,4857.0,11333.0,70.0
757,1197,Платье женское на запах олива,dresses,4.0,16160.0,0.0383,88.1735,B,4040.0,4848.0,11312.0,70.0
758,942,Юбка вискоза миди травяная,skirts,6.0,16160.0,0.0383,88.2118,B,2693.33,4848.0,11312.0,70.0
759,509,Шапка Взрослая морская волна,accessories,14.0,16114.0,0.0382,88.2499,B,1151.0,4834.2,11279.8,70.0
760,687,Брюки палаццо льняные терракот,pants,3.0,15950.0,0.0378,88.2877,B,5316.67,4785.0,11165.0,70.0
761,849,Джемпер ромашки зелено-желтый,knitwear,3.0,15900.0,0.0377,88.3254,B,5300.0,4770.0,11130.0,70.0
762,1209,Топ с горлом в рубчик изумруд,tops_blouses,9.0,15880.0,0.0376,88.363,B,1764.44,4764.0,11116.0,70.0
763,1284,Топ укороченный на бретелях белый,tops_blouses,22.0,15805.0,0.0374,88.4004,B,718.41,4741.5,11063.5,70.0
764,689,Брюки палаццо вискоза голубой,pants,3.0,15730.0,0.0373,88.4377,B,5243.33,4719.0,11011.0,70.0
765,2263,Джемпер Агата шерсть бургунди,knitwear,3.0,15686.0,0.0372,88.4749,B,5228.67,4705.8,10980.2,70.0
766,2091,Джемпер женский Грибочки полынь-лимон,knitwear,3.0,15680.0,0.0371,88.512,B,5226.67,4704.0,10976.0,70.0
767,2080,Юбка лапша полынь макси,skirts,5.0,15660.06,0.0371,88.5491,B,3132.01,4698.02,10962.04,70.0
768,2462,Футболка трикотажная косичка светло-желтый,tshirts_longsleeves,7.0,15600.0,0.037,88.5861,B,2228.57,4680.0,10920.0,70.0
769,2530,Сарафан на завязках миди тенсел синий с голубым,dresses,2.0,15580.0,0.0369,88.623,B,7790.0,4674.0,10906.0,70.0
770,2779,Брюки женские флисовые бежевый,pants,3.0,15570.0,0.0369,88.6598,B,5190.0,4671.0,10899.0,70.0
771,1299,Юбка трикотажная в рубчик миди фуксия,skirts,6.0,15540.0,0.0368,88.6967,B,2590.0,4662.0,10878.0,70.0
772,2288,Свитер Кострома V-вырез бургунди,knitwear,4.0,15540.0,0.0368,88.7335,B,3885.0,4662.0,10878.0,70.0
773,2250,Палантин трикотажный Листочки маренго-байкал,accessories,4.0,15530.0,0.0368,88.7703,B,3882.5,4659.0,10871.0,70.0
774,2492,Блуза бохо из тенсела горох молочно-синий,tops_blouses,3.0,15530.0,0.0368,88.807,B,5176.67,4659.0,10871.0,70.0
775,939,Тельняшка тонкая бежевый шоколад,tshirts_longsleeves,6.0,15505.0,0.0367,88.8438,B,2584.17,4651.5,10853.5,70.0
776,1076,Платье комбинация макси нефрит,dresses,4.0,15504.0,0.0367,88.8805,B,3876.0,4651.2,10852.8,70.0
777,345,Снуд черный,accessories,33.0,15465.0,0.0366,88.9171,B,468.64,4639.5,10825.5,70.0
778,397,Шапка взрослая шерсть серый меланж,accessories,10.0,15420.0,0.0365,88.9537,B,1542.0,4626.0,10794.0,70.0
779,2525,Топ на широких бретелях вискоза какао,tops_blouses,5.0,15360.0,0.0364,88.99,B,3072.0,4608.0,10752.0,70.0
780,2541,Кардиган на пуговицах голубой меланж,knitwear,7.0,15300.0,0.0362,89.0263,B,2185.71,4590.0,10710.0,70.0
781,2597,Лонгслив женский хаки,tshirts_longsleeves,5.0,15300.0,0.0362,89.0625,B,3060.0,4590.0,10710.0,70.0
782,2342,Рубашка джинсовая женская зебра,tops_blouses,3.0,15260.0,0.0361,89.0987,B,5086.67,4578.0,10682.0,70.0
783,2841,Анорак женский флисовый красный,outerwear,4.0,15205.0,0.036,89.1347,B,3801.25,4561.5,10643.5,70.0
784,2800,Платье туника с разрезом макси пудра,dresses,2.0,15200.0,0.036,89.1707,B,7600.0,4560.0,10640.0,70.0
785,2883,Юбка трикотажная прямая серо-голубой миди,skirts,4.0,15200.0,0.036,89.2067,B,3800.0,4560.0,10640.0,70.0
786,1246,Джемпер сердечки детский желто-оранжевый,knitwear,4.0,15120.0,0.0358,89.2425,B,3780.0,4536.0,10584.0,70.0
787,2419,Юбка трикотажная ажур Бриз хаки,skirts,3.0,15120.0,0.0358,89.2783,B,5040.0,4536.0,10584.0,70.0
788,2446,Платье трикотажное ажур Колоски макси синий,dresses,2.0,15120.0,0.0358,89.3141,B,7560.0,4536.0,10584.0,70.0
789,271,Шарф взрослый изумруд,accessories,7.0,15110.0,0.0358,89.3499,B,2158.57,4533.0,10577.0,70.0
790,2395,Футболка трикотажная шерсть серый меланж,tshirts_longsleeves,5.0,15100.0,0.0358,89.3857,B,3020.0,4530.0,10570.0,70.0
791,909,Юбка вискоза макси черная,skirts,6.0,15040.0,0.0356,89.4213,B,2506.67,4512.0,10528.0,70.0
792,1261,Топ с горлом в рубчик фуксия,tops_blouses,9.0,15030.0,0.0356,89.4569,B,1670.0,4509.0,10521.0,70.0
793,2339,Юбка плиссе трикотажная мини серый,skirts,6.0,14940.0,0.0354,89.4923,B,2490.0,4482.0,10458.0,70.0
794,2349,Шапка взрослая сливочно-желтый,accessories,13.0,14924.0,0.0354,89.5277,B,1148.0,4477.2,10446.8,70.0
795,481,Брюки трикотаж хаки,pants,4.0,14900.0,0.0353,89.563,B,3725.0,4470.0,10430.0,70.0
796,57,Свитер с горлом зеленый,knitwear,6.0,14890.0,0.0353,89.5982,B,2481.67,4467.0,10423.0,70.0
797,850,Свитер Арлекино розово-голубой,knitwear,3.0,14880.0,0.0352,89.6335,B,4960.0,4464.0,10416.0,70.0
798,2534,Рубашка Лето женская вискоза молочный,tops_blouses,4.0,14820.0,0.0351,89.6686,B,3705.0,4446.0,10374.0,70.0
799,2751,Платье интерлок макси графит,dresses,2.0,14820.0,0.0351,89.7037,B,7410.0,4446.0,10374.0,70.0
800,526,Свитер Кострома черный,knitwear,4.0,14806.0,0.0351,89.7388,B,3701.5,4441.8,10364.2,70.0
801,1095,Топ на бретелях в пайетках черный,tops_blouses,10.0,14800.02,0.0351,89.7738,B,1480.0,4440.01,10360.01,70.0
802,1087,Шарф взрослый морская волна,accessories,6.0,14800.0,0.0351,89.8089,B,2466.67,4440.0,10360.0,70.0
803,2071,Бомбер женский желтый,outerwear,1.0,14800.0,0.0351,89.8439,B,14800.0,4440.0,10360.0,70.0
804,1128,Свитер Кострома Vвырез байкал,knitwear,5.0,14760.0,0.035,89.8789,B,2952.0,4428.0,10332.0,70.0
805,2133,Джемпер Алиса винный шерсть,knitwear,3.0,14756.0,0.035,89.9139,B,4918.67,4426.8,10329.2,70.0
806,2465,Топ трикотажный ажур Волна светло-желтый,tops_blouses,4.0,14746.0,0.0349,89.9488,B,3686.5,4423.8,10322.2,70.0
807,2046,Шорты льняные алый,pants,3.0,14718.0,0.0349,89.9837,B,4906.0,4415.4,10302.6,70.0
808,2161,Свитер Кострома синий,knitwear,4.0,14640.0,0.0347,90.0183,B,3660.0,4392.0,10248.0,70.0
809,2089,Джемпер Грибочки мужской фиолетовый,knitwear,2.0,14620.0,0.0346,90.053,B,7310.0,4386.0,10234.0,70.0
810,2252,Джемпер Лайт шерсть пудра-лаванда,knitwear,5.0,14600.0,0.0346,90.0876,B,2920.0,4380.0,10220.0,70.0
811,2905,Лонгслив трикотажный ваниль,tshirts_longsleeves,4.0,14580.0,0.0345,90.1221,B,3645.0,4374.0,10206.0,70.0
812,1143,Шарф взрослый зефир,accessories,7.0,14538.0,0.0344,90.1565,B,2076.86,4361.4,10176.6,70.0
813,2377,Майка трикотажная V-вырез серый меланж,tops_blouses,7.0,14454.0,0.0342,90.1908,B,2064.86,4336.2,10117.8,70.0
814,2378,Кардиган трикотажный на завязках зеленая полынь,knitwear,3.0,14420.0,0.0342,90.2249,B,4806.67,4326.0,10094.0,70.0
815,2759,Джемпер Грибочки Нью мужской изумруд,knitwear,2.0,14400.0,0.0341,90.259,B,7200.0,4320.0,10080.0,70.0
816,2748,Юбка Мерилин из тенсела голубой,skirts,2.0,14350.0,0.034,90.293,B,7175.0,4305.0,10045.0,70.0
817,2588,Юбка трикотажная прямая серо-лавандовый миди,skirts,4.0,14250.0,0.0338,90.3268,B,3562.5,4275.0,9975.0,70.0
818,2319,Кардиган трикотажный на завязках лайм,knitwear,3.0,14196.0,0.0336,90.3604,B,4732.0,4258.8,9937.2,70.0
819,2059,Юбка трикотажная в рубчик макси темно-синий,skirts,5.0,14148.0,0.0335,90.3939,B,2829.6,4244.4,9903.6,70.0
820,2224,Манишка на завязках с воротом шерсть серый меланж,accessories,4.0,14112.0,0.0334,90.4273,B,3528.0,4233.6,9878.4,70.0
821,2211,Топ на широких бретелях искусственный шелк черный,tops_blouses,5.0,14016.0,0.0332,90.4605,B,2803.2,4204.8,9811.2,70.0
822,58,Свитер с горлом черный,knitwear,5.0,13920.0,0.033,90.4935,B,2784.0,4176.0,9744.0,70.0
823,2488,Футболка трикотажная косичка трава,tshirts_longsleeves,7.0,13900.0,0.0329,90.5264,B,1985.71,4170.0,9730.0,70.0
824,659,Тельняшка тонкая мятно-травяной,tshirts_longsleeves,9.0,13820.0,0.0327,90.5592,B,1535.56,4146.0,9674.0,70.0
825,527,Свитер Кострома серо-льняной,knitwear,4.0,13760.0,0.0326,90.5918,B,3440.0,4128.0,9632.0,70.0
826,2237,Шарф взрослый шерсть горький шоколад,accessories,5.0,13740.0,0.0325,90.6243,B,2748.0,4122.0,9618.0,70.0
827,1123,Свитер Кострома байкал,knitwear,4.0,13694.0,0.0324,90.6568,B,3423.5,4108.2,9585.8,70.0
828,2532,Шорты вискоза молочный,pants,4.0,13680.0,0.0324,90.6892,B,3420.0,4104.0,9576.0,70.0
829,2601,Платье Одри макси шоколад круглый ворот,dresses,2.0,13680.0,0.0324,90.7216,B,6840.0,4104.0,9576.0,70.0
830,2792,Платье Одри макси полынь ворот стойка,dresses,2.0,13680.0,0.0324,90.754,B,6840.0,4104.0,9576.0,70.0
831,686,Пиджак льняной терракот,jackets_blazers,2.0,13680.0,0.0324,90.7864,B,6840.0,4104.0,9576.0,70.0
832,2157,Юбка трикотажная прямая синий миди,skirts,4.0,13608.0,0.0322,90.8186,B,3402.0,4082.4,9525.6,70.0
833,2299,Рубашка хлопок изумруд,tops_blouses,3.0,13580.0,0.0322,90.8508,B,4526.67,4074.0,9506.0,70.0
834,2487,Футболка трикотажная косичка синий,tshirts_longsleeves,7.0,13580.0,0.0322,90.883,B,1940.0,4074.0,9506.0,70.0
835,2138,Джемпер Джеки шерсть серый меланж,knitwear,3.0,13560.0,0.0321,90.9151,B,4520.0,4068.0,9492.0,70.0
836,2177,Платье интерлок макси полынь,dresses,2.0,13500.0,0.032,90.9471,B,6750.0,4050.0,9450.0,70.0
837,2498,Футболка трикотажная косичка серо-голубой,tshirts_longsleeves,6.0,13480.0,0.0319,90.979,B,2246.67,4044.0,9436.0,70.0
838,2708,Юбка трикотажная прямая шерсть миди суровый,skirts,3.0,13440.0,0.0318,91.0108,B,4480.0,4032.0,9408.0,70.0
839,2254,Палантин трикотажный Листочки тауп-бежевый,accessories,4.0,13428.0,0.0318,91.0426,B,3357.0,4028.4,9399.6,70.0
840,2644,Кардиган Зебра Оверсайз жаккард шерсть хаки-бежевый,knitwear,2.0,13400.0,0.0317,91.0744,B,6700.0,4020.0,9380.0,70.0
841,2391,Платье Одри макси черный круглый ворот,dresses,2.0,13320.0,0.0316,91.1059,B,6660.0,3996.0,9324.0,70.0
842,2899,Пальто-жакет женский утепленный маренго,outerwear,1.0,13300.0,0.0315,91.1374,B,13300.0,3990.0,9310.0,70.0
843,81,Брюки трикотаж черный,pants,4.0,13300.0,0.0315,91.1689,B,3325.0,3990.0,9310.0,70.0
844,1079,Джемпер Лайт шерсть орех,knitwear,5.0,13200.0,0.0313,91.2002,B,2640.0,3960.0,9240.0,70.0
845,2125,Джемпер Джеки маренго,knitwear,3.0,13120.0,0.0311,91.2313,B,4373.33,3936.0,9184.0,70.0
846,2361,Кардиган трикотажный на завязках коралл,knitwear,3.0,13100.0,0.031,91.2623,B,4366.67,3930.0,9170.0,70.0
847,2344,Жилет джинсовый изумруд,pants,3.0,13068.0,0.031,91.2933,B,4356.0,3920.4,9147.6,70.0
848,1320,Джемпер в рубчик укороченный черный,knitwear,6.0,13060.1,0.0309,91.3242,B,2176.68,3918.03,9142.07,70.0
849,1173,Свитер Кострома серый,knitwear,4.0,12965.0,0.0307,91.3549,B,3241.25,3889.5,9075.5,70.0
850,1314,Юбка трикотажная в рубчик макси лиловый,skirts,4.0,12960.0,0.0307,91.3856,B,3240.0,3888.0,9072.0,70.0
851,2556,Юбка Город корица макси,skirts,2.0,12960.0,0.0307,91.4163,B,6480.0,3888.0,9072.0,70.0
852,1273,Футболка трикотажная косичка голубой,tshirts_longsleeves,5.0,12940.0,0.0307,91.447,B,2588.0,3882.0,9058.0,70.0
853,2119,Пальто женское оверсайз песочный,outerwear,1.0,12900.0,0.0306,91.4775,B,12900.0,3870.0,9030.0,70.0
854,2235,Шапка взрослая шерсть хаки,accessories,8.0,12850.0,0.0304,91.508,B,1606.25,3855.0,8995.0,70.0
855,249,Шарф взрослый горчица,accessories,6.0,12825.0,0.0304,91.5383,B,2137.5,3847.5,8977.5,70.0
856,1024,Шапка мужская бини хаки,accessories,14.0,12820.0,0.0304,91.5687,B,915.71,3846.0,8974.0,70.0
857,2364,Жилет джинсовый голубой,pants,3.0,12760.0,0.0302,91.5989,B,4253.33,3828.0,8932.0,70.0
858,1103,Свитер базовый мужской черный,knitwear,3.0,12720.0,0.0301,91.6291,B,4240.0,3816.0,8904.0,70.0
859,2058,Топ с горлом в рубчик капучино,tops_blouses,7.0,12720.0,0.0301,91.6592,B,1817.14,3816.0,8904.0,70.0
860,1027,Шапка взрослая шерсть липа,accessories,8.0,12680.0,0.03,91.6892,B,1585.0,3804.0,8876.0,70.0
861,2704,Блуза с воротом стойка из тенсела черный,tops_blouses,2.0,12675.0,0.03,91.7193,B,6337.5,3802.5,8872.5,70.0
862,1306,Юбка трикотажная в рубчик миди черный,skirts,4.0,12660.0,0.03,91.7492,B,3165.0,3798.0,8862.0,70.0
863,824,Водолазка шерсть молочный,knitwear,4.0,12655.2,0.03,91.7792,B,3163.8,3796.56,8858.64,70.0
864,2253,Палантин трикотажный Листочки черно-бежевый,accessories,4.0,12600.0,0.0298,91.8091,B,3150.0,3780.0,8820.0,70.0
865,2765,Джемпер Кружево персик,knitwear,2.0,12580.0,0.0298,91.8389,B,6290.0,3774.0,8806.0,70.0
866,1044,Шарф взрослый шерсть черный,accessories,4.0,12500.0,0.0296,91.8685,B,3125.0,3750.0,8750.0,70.0
867,991,Футболка базовая хаки,tshirts_longsleeves,8.0,12490.2,0.0296,91.8981,B,1561.28,3747.06,8743.14,70.0
868,483,Шапка Взрослая васильковый,accessories,11.0,12480.0,0.0296,91.9276,B,1134.55,3744.0,8736.0,70.0
869,392,Шарф взрослый тауп светлый,accessories,6.0,12466.0,0.0295,91.9572,B,2077.67,3739.8,8726.2,70.0
870,2766,Кардиган стандарт интерлок бургунди,knitwear,2.0,12440.0,0.0295,91.9866,B,6220.0,3732.0,8708.0,70.0
871,2564,Джемпер женский Грибочки лиловый-зеленый,knitwear,2.0,12400.0,0.0294,92.016,B,6200.0,3720.0,8680.0,70.0
872,2611,Джемпер Джеки Нью интерлок полынь зеленая,knitwear,2.0,12400.0,0.0294,92.0454,B,6200.0,3720.0,8680.0,70.0
873,2867,Юбка Город в горох шоколад макси,skirts,2.0,12240.0,0.029,92.0744,B,6120.0,3672.0,8568.0,70.0
874,394,Шарф взрослый классический розовый,accessories,5.0,12200.0,0.0289,92.1033,B,2440.0,3660.0,8540.0,70.0
875,1191,Рюша для рубашки в ассортименте,other,28.0,12182.5,0.0289,92.1321,B,435.09,3654.75,8527.75,70.0
876,2384,Футболка трикотажная шерсть пудра-лаванда,tshirts_longsleeves,4.0,12144.0,0.0288,92.1609,B,3036.0,3643.2,8500.8,70.0
877,2709,Шапка взрослая шерсть гроза,accessories,9.0,12020.0,0.0285,92.1894,B,1335.56,3606.0,8414.0,70.0
878,2118,Пальто стеганое женское олива,outerwear,1.0,12000.0,0.0284,92.2178,B,12000.0,3600.0,8400.0,70.0
879,2577,Свитер женский Релакс круглый ворот жемчужный,knitwear,2.0,12000.0,0.0284,92.2462,B,6000.0,3600.0,8400.0,70.0
880,374,Шапка взрослая синий,accessories,10.0,11948.0,0.0283,92.2745,B,1194.8,3584.4,8363.6,70.0
881,1051,Платье комбинация макси медь,dresses,3.0,11920.0,0.0282,92.3027,B,3973.33,3576.0,8344.0,70.0
882,55,Свитер с горлом серый,knitwear,6.0,11900.0,0.0282,92.3309,B,1983.33,3570.0,8330.0,70.0
883,2472,Жилет джинсовый небесно-голубой,pants,3.0,11880.0,0.0281,92.3591,B,3960.0,3564.0,8316.0,70.0
884,253,Шарф взрослый пудра,accessories,6.0,11840.0,0.028,92.3871,B,1973.33,3552.0,8288.0,70.0
885,2595,Пальто-жакет женский тауп,outerwear,1.0,11840.0,0.028,92.4152,B,11840.0,3552.0,8288.0,70.0
886,2653,Шапка взрослая горький шоколад,accessories,11.0,11836.0,0.028,92.4432,B,1076.0,3550.8,8285.2,70.0
887,240,Шапка взрослая теплый беж,accessories,11.0,11800.0,0.028,92.4712,B,1072.73,3540.0,8260.0,70.0
888,2567,Джемпер женский Софи сливочная ириска,knitwear,2.0,11780.0,0.0279,92.4991,B,5890.0,3534.0,8246.0,70.0
889,2502,Шопер трикотажный в полоску Полимаркет полынь,accessories,3.0,11700.0,0.0277,92.5268,B,3900.0,3510.0,8190.0,70.0
890,2568,Юбка трикотажная Софи ириска макси,skirts,2.0,11700.0,0.0277,92.5545,B,5850.0,3510.0,8190.0,70.0
891,1050,Джемпер Джеки шерсть алый,knitwear,2.0,11680.0,0.0277,92.5822,B,5840.0,3504.0,8176.0,70.0
892,801,Шарф взрослый бордо,accessories,6.0,11670.0,0.0276,92.6098,B,1945.0,3501.0,8169.0,70.0
893,872,Джемпер детский Ромашки морская волна,knitwear,3.0,11640.0,0.0276,92.6374,B,3880.0,3492.0,8148.0,70.0
894,1155,Юбка в пайетках серебро,skirts,4.0,11620.0,0.0275,92.6649,B,2905.0,3486.0,8134.0,70.0
895,2399,Поло трикотажное ажур Ананас лосось,tops_blouses,2.0,11600.0,0.0275,92.6924,B,5800.0,3480.0,8120.0,70.0
896,2839,Жилет стеганый двусторонний с карманами графит,knitwear,2.0,11600.0,0.0275,92.7199,B,5800.0,3480.0,8120.0,70.0
897,562,Шарф взрослый молочный,accessories,5.0,11490.0,0.0272,92.7471,B,2298.0,3447.0,8043.0,70.0
898,2778,Зипка флисовая красный,tops_blouses,3.0,11475.0,0.0272,92.7743,B,3825.0,3442.5,8032.5,70.0
899,2181,Шапка взрослая шерсть какао,accessories,7.0,11440.0,0.0271,92.8014,B,1634.29,3432.0,8008.0,70.0
900,2454,Топ трикотажный ажур Волна молочный,tops_blouses,3.0,11440.0,0.0271,92.8285,B,3813.33,3432.0,8008.0,70.0
901,2388,Футболка трикотажная шерсть черный,tshirts_longsleeves,3.0,11400.0,0.027,92.8555,B,3800.0,3420.0,7980.0,70.0
902,839,Рубашка хлопок корица,tops_blouses,4.0,11400.0,0.027,92.8825,B,2850.0,3420.0,7980.0,70.0
903,1091,Свитер Кострома нефрит,knitwear,3.0,11300.0,0.0268,92.9092,B,3766.67,3390.0,7910.0,70.0
904,2112,Куртка стеганая женская голубой круглый ворот,outerwear,2.0,11300.0,0.0268,92.936,B,5650.0,3390.0,7910.0,70.0
905,2026,Платье лапша V-вырез one size беж,dresses,3.0,11280.0,0.0267,92.9627,B,3760.0,3384.0,7896.0,70.0
906,1131,Шапка взрослая розово-лимонный,accessories,9.0,11260.0,0.0267,92.9894,B,1251.11,3378.0,7882.0,70.0
907,2455,Топ трикотажный ажур Волна манго,tops_blouses,3.0,11250.0,0.0266,93.016,B,3750.0,3375.0,7875.0,70.0
908,1028,Шапка взрослая шерсть пудра-лаванда,accessories,6.0,11240.0,0.0266,93.0427,B,1873.33,3372.0,7868.0,70.0
909,2284,Свитер Кострома молочный,knitwear,4.0,11224.41,0.0266,93.0692,B,2806.1,3367.32,7857.09,70.0
910,2164,Шапка взрослая манго шерсть,accessories,6.0,11220.0,0.0266,93.0958,B,1870.0,3366.0,7854.0,70.0
911,2120,Шапка взрослая темный беж,accessories,7.0,11200.0,0.0265,93.1224,B,1600.0,3360.0,7840.0,70.0
912,2592,Палантин Полимаркет в полоску полынь-горчица,accessories,2.0,11200.0,0.0265,93.1489,B,5600.0,3360.0,7840.0,70.0
913,2382,Джемпер Агата шерсть липа,knitwear,2.0,11160.0,0.0264,93.1753,B,5580.0,3348.0,7812.0,70.0
914,825,Джемпер Джеки шерсть шоколад,knitwear,2.0,11160.0,0.0264,93.2018,B,5580.0,3348.0,7812.0,70.0
915,82,Брюки трикотаж орех,pants,3.0,11102.0,0.0263,93.2281,B,3700.67,3330.6,7771.4,70.0
916,2484,Футболка трикотажная ажур Листочки темный шоколад,tshirts_longsleeves,2.0,11036.0,0.0261,93.2542,B,5518.0,3310.8,7725.2,70.0
917,2258,Шапка взрослая шерсть серый,accessories,9.0,11035.98,0.0261,93.2803,B,1226.22,3310.79,7725.19,70.0
918,1292,Худи мужское с капюшоном хаки,tops_blouses,2.0,11020.0,0.0261,93.3064,B,5510.0,3306.0,7714.0,70.0
919,2044,Брюки палаццо льняные алый,pants,2.0,11020.0,0.0261,93.3325,B,5510.0,3306.0,7714.0,70.0
920,2222,Юбка трикотажная прямая графит макси,skirts,3.0,11020.0,0.0261,93.3587,B,3673.33,3306.0,7714.0,70.0
921,1321,Плед трикотажный травяной,accessories,2.0,11000.0,0.0261,93.3847,B,5500.0,3300.0,7700.0,70.0
922,590,Снуд алый,accessories,23.0,11000.0,0.0261,93.4108,B,478.26,3300.0,7700.0,70.0
923,222,Шапка взрослая желтый,accessories,10.0,10980.0,0.026,93.4368,B,1098.0,3294.0,7686.0,70.0
924,1208,Юбка макси атлас бежевый,skirts,3.0,10820.0,0.0256,93.4624,B,3606.67,3246.0,7574.0,70.0
925,1110,Снуд шоколад,accessories,21.0,10805.0,0.0256,93.488,B,514.52,3241.5,7563.5,70.0
926,2461,Топ на широких бретелях искусственный шелк молочный,tops_blouses,5.0,10760.0,0.0255,93.5135,B,2152.0,3228.0,7532.0,70.0
927,2797,Брюки на завязках вискоза шоколадный,pants,2.0,10744.0,0.0255,93.5389,B,5372.0,3223.2,7520.8,70.0
928,1023,Шапка мужская бини коричневый,accessories,12.0,10740.0,0.0254,93.5644,B,895.0,3222.0,7518.0,70.0
929,1164,Почта России,other,20.0,10657.8,0.0252,93.5896,B,532.89,3197.34,7460.46,70.0
930,2860,Футболка из тенсела шоколад,tshirts_longsleeves,3.0,10620.0,0.0252,93.6148,B,3540.0,3186.0,7434.0,70.0
931,2645,Кардиган Зебра Оверсайз жаккард шерсть горчица-бежевый,knitwear,2.0,10535.0,0.025,93.6397,B,5267.5,3160.5,7374.5,70.0
932,2621,Юбка трикотажная прямая светлый беж миди,skirts,3.0,10450.0,0.0248,93.6645,B,3483.33,3135.0,7315.0,70.0
933,2425,Поло трикотажное ажур Ананас коралл,tops_blouses,2.0,10400.0,0.0246,93.6891,B,5200.0,3120.0,7280.0,70.0
934,2452,Кардиган трикотажный на завязках полынь,knitwear,2.0,10400.0,0.0246,93.7138,B,5200.0,3120.0,7280.0,70.0
935,865,Джемпер Ромашки морская волна,knitwear,2.0,10400.0,0.0246,93.7384,B,5200.0,3120.0,7280.0,70.0
