позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
179,1285,Футболка трикотажная косичка молочный,tshirts_longsleeves,25.0,60954.0,0.1444,44.3029,A,2438.16,18286.2,42667.8,70.0
180,1106,Палантин трикотажный Листочки олива-хаки,accessories,19.0,60499.69,0.1433,44.4462,A,3184.19,18149.91,42349.78,70.0
181,2616,Юбка трикотажная Софи брусника макси,skirts,10.0,59812.0,0.1417,44.5879,A,5981.2,17943.6,41868.4,70.0
182,2185,Юбка трикотажная прямая маренго миди,skirts,18.0,59710.0,0.1414,44.7293,A,3317.22,17913.0,41797.0,70.0
183,2053,Кардиган Чешуйки жаккард васильковый,knitwear,10.0,59520.0,0.141,44.8703,A,5952.0,17856.0,41664.0,70.0
184,1322,Шорты льняные серо-голубой,pants,14.0,58928.0,0.1396,45.0099,A,4209.14,17678.4,41249.6,70.0
185,1205,Лонгслив трикотажный женский коралл,tshirts_longsleeves,33.0,58695.0,0.139,45.149,A,1778.64,17608.5,41086.5,70.0
186,1119,Джемпер Ромашки лайм,knitwear,11.0,58570.0,0.1387,45.2877,A,5324.55,17571.0,40999.0,70.0
187,2287,Рубашка хлопок белый,tops_blouses,12.0,58240.0,0.138,45.4257,A,4853.33,17472.0,40768.0,70.0
188,2643,Рубашка женская oversize фланель клетка шоколадно-молочный,tops_blouses,10.0,58058.0,0.1375,45.5632,A,5805.8,17417.4,40640.6,70.0
189,2162,Джемпер Джеки шерсть имбирь,knitwear,11.0,57970.0,0.1373,45.7005,A,5270.0,17391.0,40579.0,70.0
190,1052,Джемпер Джеки интерлок оранжевый,knitwear,10.0,57606.0,0.1365,45.837,A,5760.6,17281.8,40324.2,70.0
191,1252,Рубашка женская вискоза красная в цветок,tops_blouses,17.0,57240.0,0.1356,45.9725,A,3367.06,17172.0,40068.0,70.0
192,1111,Палантин трикотажный Листочки розово-лаймовый,accessories,18.0,57223.0,0.1355,46.1081,A,3179.06,17166.9,40056.1,70.0
193,1181,Лонгслив трикотажный женский лайм,tshirts_longsleeves,32.0,57220.0,0.1355,46.2436,A,1788.12,17166.0,40054.0,70.0
194,680,Кардиган Leo жаккард светлый беж,knitwear,12.0,57060.0,0.1352,46.3788,A,4755.0,17118.0,39942.0,70.0
195,2668,Кардиган Оверсайз интерлок ваниль,knitwear,8.0,56800.0,0.1345,46.5133,A,7100.0,17040.0,39760.0,70.0
196,2101,Куртка стеганая женская голубой,outerwear,11.0,56500.0,0.1338,46.6472,A,5136.36,16950.0,39550.0,70.0
197,2336,Жилет геометрия липа,knitwear,13.0,56248.0,0.1332,46.7804,A,4326.77,16874.4,39373.6,70.0
198,913,Футболка базовая белая,tshirts_longsleeves,34.0,56150.2,0.133,46.9134,A,1651.48,16845.06,39305.14,70.0
