model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Джемпер агата шерсть,knitwear,11,"2192, 2193, 2263, 2381, 2382, 2383, 2614, 2624, 2672, 2707, 2717",11,бежевый-фрезия,25.53,28.0,145700.0,0.3451,5203.57,43710.0,101990.0,70.0,15.0,74834.0,11,151.86,Y,A,AY,17.0,413.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,52.7589
Джемпер женский грибочки лайм с маренго,knitwear,1,984,1,лайм-маренго,95.31,25.0,144860.0,0.3431,5794.4,43458.0,101402.0,70.0,2.0,7800.0,8,188.73,Y,A,AY,3.0,547.5,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6600.0,53.1021
Жилет трикотажный бадминтон,knitwear,1,2324,2,жемчужный серый,68.84,32.0,142460.0,0.3375,4451.88,42738.0,99722.0,70.0,24.0,109440.0,9,162.98,Y,A,AY,9.0,136.9,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5200.0,53.4395
Жилет джинсовый,pants,5,"1331, 2329, 2344, 2364, 2475",6,графит,45.84,35.0,142102.8,0.3366,4060.08,42630.84,99471.96,70.0,23.0,93020.0,13,125.16,X,A,AX,12.0,190.4,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,4400.0,53.7761
Кардиган с воротником на пуговицах,knitwear,5,"2295, 2303, 2304, 2340, 2341",5,молочный,26.54,33.0,142074.0,0.3365,4305.27,42622.2,99451.8,70.0,28.0,117166.0,8,180.37,Y,A,AY,20.0,260.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5200.0,54.1127
Кардиган трикотажный на завязках,knitwear,7,"2319, 2343, 2361, 2362, 2367, 2378, 2452",7,светло-желтый,21.83,28.0,134726.0,0.3191,4811.64,40417.8,94308.2,70.0,28.0,134726.0,9,192.72,Y,A,AY,19.0,247.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5200.0,54.7605
Жакет с поясом искусственный шелк,jackets_blazers,3,"2217, 2218, 2219",3,шоколадный,50.37,29.0,130561.0,0.3093,4502.1,39168.3,91392.7,70.0,16.0,64141.0,10,183.47,Y,A,AY,9.0,205.3,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",2500.0,56.0046
Сарафан на бретелях вискоза,dresses,2,"2527, 2528",2,молочный,76.92,18.0,129490.0,0.3067,7193.89,38847.0,90643.0,70.0,18.0,129490.0,4,250.19,Z,A,AZ,10.0,202.8,overstock,fashion_core,reduce_depth_keep_model,"Сильная по выручке, но нестабильная модель: использовать как fashion-driver с ограниченным риском.",8200.0,56.3113
Косынка трикотажная шерсть,accessories,5,"2168, 2239, 2240, 2787, 2794",5,бежевый,36.89,45.0,127187.0,0.3013,2826.38,38156.1,89030.9,70.0,27.0,76042.0,12,154.97,Y,A,AY,17.0,229.8,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",3100.0,56.9184
Юбка вискоза миди олива в цветок,skirts,1,1255,1,оливковый,100.0,43.0,126790.0,0.3003,2948.6,38037.0,88753.0,70.0,3.0,9360.0,7,237.33,Y,A,AY,3.0,365.0,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",3400.0,57.2188
Рубашка женская из тенсела ириска,tops_blouses,1,1225,1,коричневый в цветок,100.0,27.0,123198.0,0.2918,4562.89,36959.4,86238.6,70.0,3.0,15300.0,10,176.5,Y,A,AY,1.0,121.7,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5800.0,57.8058
Платье интерлок макси,dresses,6,"2163, 2177, 2178, 2186, 2757, 831",7,черный,29.6,19.0,122006.0,0.289,6421.37,36601.8,85404.2,70.0,8.0,58890.0,10,150.25,Y,A,AY,5.0,228.1,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",7800.0,58.0948
Рубашка льняная,tops_blouses,7,"1335, 1336, 2030, 2038, 2047, 2051, 963",7,серо-голубой,39.05,23.0,119267.0,0.2825,5185.52,35780.1,83486.9,70.0,8.0,43885.0,8,207.56,Y,A,AY,4.0,182.5,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5800.0,59.237
Джемпер джеки нью интерлок,knitwear,2,"1147, 2612",2,ванильный,83.55,22.0,113082.6,0.2679,5140.12,33924.78,79157.82,70.0,7.0,41620.0,13,125.64,X,A,AX,4.0,208.6,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,6200.0,61.7123
Топ на широких бретелях искусственный шелк,tops_blouses,6,"2209, 2210, 2211, 2212, 2213, 2461",6,шоколадный,37.73,44.0,108501.0,0.257,2465.93,32550.3,75950.7,70.0,30.0,68541.0,12,151.58,Y,A,AY,19.0,231.2,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",1500.0,62.2273
Платье тонкое трикотажное косичка макси,dresses,1,2457,1,тауп,100.0,17.0,99140.0,0.2348,5831.76,29742.0,69398.0,70.0,17.0,99140.0,6,249.5,Y,A,AY,9.0,193.2,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6400.0,64.2091
